Source Key,Zone,Mission,??? Item Type,Appraisal Result,Reference Source,itemid,is_equipment
LEUJAOAM_SANCTUM_ORICHALCUM_SURVEY_BOX,Leujaoam Sanctum,Orichalcum Survey,??? Box,Linen Cloth,FFXIclopedia,826,N
LEUJAOAM_SANCTUM_ORICHALCUM_SURVEY_BOX,Leujaoam Sanctum,Orichalcum Survey,??? Box,Merrow Scale,FFXIclopedia,2146,N
LEUJAOAM_SANCTUM_ORICHALCUM_SURVEY_BOX,Leujaoam Sanctum,Orichalcum Survey,??? Box,Phalaenopsis,FFXIclopedia,1411,N
LEUJAOAM_SANCTUM_ORICHALCUM_SURVEY_BOX,Leujaoam Sanctum,Orichalcum Survey,??? Box,Poroggo Hat,FFXIclopedia,2334,N
LEUJAOAM_SANCTUM_ORICHALCUM_SURVEY_BOX,Leujaoam Sanctum,Orichalcum Survey,??? Box,Soulflayer Staff,FFXIclopedia,2336,N
LEUJAOAM_SANCTUM_ORICHALCUM_SURVEY_BOX,Leujaoam Sanctum,Orichalcum Survey,??? Box,Tsurara,FFXIclopedia,1164,N
LEUJAOAM_SANCTUM_ORICHALCUM_SURVEY_BOX,Leujaoam Sanctum,Orichalcum Survey,??? Box,White Rock,FFXIclopedia,776,N
LEUJAOAM_SANCTUM_ESCORT_PROFESSOR_CHANOIX_CAPE,Leujaoam Sanctum,Escort Professor Chanoix,??? Cape,Cotton Cape +1,FFXIclopedia,13601,Y
LEUJAOAM_SANCTUM_ESCORT_PROFESSOR_CHANOIX_CAPE,Leujaoam Sanctum,Escort Professor Chanoix,??? Cape,Dhalmel Mantle +1,FFXIclopedia,13600,Y
LEUJAOAM_SANCTUM_ESCORT_PROFESSOR_CHANOIX_CAPE,Leujaoam Sanctum,Escort Professor Chanoix,??? Cape,Lizard Mantle +1,FFXIclopedia,13608,Y
LEUJAOAM_SANCTUM_ESCORT_PROFESSOR_CHANOIX_CAPE,Leujaoam Sanctum,Escort Professor Chanoix,??? Cape,Red Cape +1,FFXIclopedia,13611,Y
LEUJAOAM_SANCTUM_ESCORT_PROFESSOR_CHANOIX_CAPE,Leujaoam Sanctum,Escort Professor Chanoix,??? Cape,Storm Mantle,FFXIclopedia,15483,Y
LEUJAOAM_SANCTUM_SHANARHA_GRASS_CONSERVATION_BOX,Leujaoam Sanctum,Shanarha Grass Conservation,??? Box,Gardenia Seed,BGWiki,1472,N
LEUJAOAM_SANCTUM_SHANARHA_GRASS_CONSERVATION_BOX,Leujaoam Sanctum,Shanarha Grass Conservation,??? Box,Ice Crystal,BGWiki,4097,N
LEUJAOAM_SANCTUM_SHANARHA_GRASS_CONSERVATION_BOX,Leujaoam Sanctum,Shanarha Grass Conservation,??? Box,Lamp Marimo,BGWiki,2216,N
LEUJAOAM_SANCTUM_SHANARHA_GRASS_CONSERVATION_BOX,Leujaoam Sanctum,Shanarha Grass Conservation,??? Box,Phalaenopsis,BGWiki,1411,N
LEUJAOAM_SANCTUM_SHANARHA_GRASS_CONSERVATION_BOX,Leujaoam Sanctum,Shanarha Grass Conservation,??? Box,Tsurara,BGWiki,1164,N
LEUJAOAM_SANCTUM_SHANARHA_GRASS_CONSERVATION_BOX,Leujaoam Sanctum,Shanarha Grass Conservation,??? Box,White Rock,BGWiki,776,N
LEUJAOAM_SANCTUM_SHANARHA_GRASS_CONSERVATION_SASH,Leujaoam Sanctum,Shanarha Grass Conservation,??? Sash,Deductive Gold Obi,ZenithXI,15460,Y
LEUJAOAM_SANCTUM_SHANARHA_GRASS_CONSERVATION_SASH,Leujaoam Sanctum,Shanarha Grass Conservation,??? Sash,Enthralling Gold Obi,ZenithXI,15461,Y
LEUJAOAM_SANCTUM_SHANARHA_GRASS_CONSERVATION_SASH,Leujaoam Sanctum,Shanarha Grass Conservation,??? Sash,Little Worm Belt,ZenithXI,15454,Y
LEUJAOAM_SANCTUM_SHANARHA_GRASS_CONSERVATION_SASH,Leujaoam Sanctum,Shanarha Grass Conservation,??? Sash,Lugworm Belt,ZenithXI,15453,Y
LEUJAOAM_SANCTUM_SHANARHA_GRASS_CONSERVATION_SASH,Leujaoam Sanctum,Shanarha Grass Conservation,??? Sash,Silver Obi +1,ZenithXI,13224,Y
LEUJAOAM_SANCTUM_SHANARHA_GRASS_CONSERVATION_SASH,Leujaoam Sanctum,Shanarha Grass Conservation,??? Sash,Storm Belt,ZenithXI,15882,Y
LEUJAOAM_SANCTUM_SHANARHA_GRASS_CONSERVATION_SASH,Leujaoam Sanctum,Shanarha Grass Conservation,??? Sash,Talisman Obi,ZenithXI,15881,Y
LEUJAOAM_SANCTUM_COUNTING_SHEEP_BOX,Leujaoam Sanctum,Counting Sheep,??? Box,Gardenia Seed,BGWiki,1472,N
LEUJAOAM_SANCTUM_COUNTING_SHEEP_BOX,Leujaoam Sanctum,Counting Sheep,??? Box,Ice Crystal,BGWiki,4097,N
LEUJAOAM_SANCTUM_COUNTING_SHEEP_BOX,Leujaoam Sanctum,Counting Sheep,??? Box,Phalaenopsis,BGWiki,1411,N
LEUJAOAM_SANCTUM_COUNTING_SHEEP_BOX,Leujaoam Sanctum,Counting Sheep,??? Box,Soulflayer Staff,BGWiki,2336,N
LEUJAOAM_SANCTUM_COUNTING_SHEEP_BOX,Leujaoam Sanctum,Counting Sheep,??? Box,Tsurara,BGWiki,1164,N
LEUJAOAM_SANCTUM_COUNTING_SHEEP_BOX,Leujaoam Sanctum,Counting Sheep,??? Box,White Rock,BGWiki,776,N
LEUJAOAM_SANCTUM_COUNTING_SHEEP_DAGGER,Leujaoam Sanctum,Counting Sheep,??? Dagger,Hushed Dagger,BGWiki,18008,Y
LEUJAOAM_SANCTUM_COUNTING_SHEEP_DAGGER,Leujaoam Sanctum,Counting Sheep,??? Dagger,Katars,BGWiki,16399,Y
LEUJAOAM_SANCTUM_COUNTING_SHEEP_DAGGER,Leujaoam Sanctum,Counting Sheep,??? Dagger,Kyofu,BGWiki,17780,Y
LEUJAOAM_SANCTUM_COUNTING_SHEEP_DAGGER,Leujaoam Sanctum,Counting Sheep,??? Dagger,Pahluwan Katars,BGWiki,18364,Y
LEUJAOAM_SANCTUM_COUNTING_SHEEP_DAGGER,Leujaoam Sanctum,Counting Sheep,??? Dagger,Ponderous Gully,BGWiki,17625,Y
LEUJAOAM_SANCTUM_COUNTING_SHEEP_DAGGER,Leujaoam Sanctum,Counting Sheep,??? Dagger,Ponderous Manoples,BGWiki,18361,Y
LEUJAOAM_SANCTUM_COUNTING_SHEEP_DAGGER,Leujaoam Sanctum,Counting Sheep,??? Dagger,Spark Dagger,BGWiki,17984,Y
LEUJAOAM_SANCTUM_SUPPLIES_RECOVERY_DAGGER,Leujaoam Sanctum,Supplies Recovery,??? Dagger,Hushed Dagger,ClassicFFXI,18008,Y
LEUJAOAM_SANCTUM_SUPPLIES_RECOVERY_DAGGER,Leujaoam Sanctum,Supplies Recovery,??? Dagger,Spark Dagger,ClassicFFXI,17984,Y
LEUJAOAM_SANCTUM_SUPPLIES_RECOVERY_DAGGER,Leujaoam Sanctum,Supplies Recovery,??? Dagger,Argent Dagger,ClassicFFXI,17997,Y
LEUJAOAM_SANCTUM_SUPPLIES_RECOVERY_DAGGER,Leujaoam Sanctum,Supplies Recovery,??? Dagger,Palladium Dagger,ClassicFFXI,18027,Y
LEUJAOAM_SANCTUM_SUPPLIES_RECOVERY_DAGGER,Leujaoam Sanctum,Supplies Recovery,??? Dagger,Kyofu,ClassicFFXI,17780,Y
LEUJAOAM_SANCTUM_SUPPLIES_RECOVERY_GLOVES,Leujaoam Sanctum,Supplies Recovery,??? Gloves,Bronze Mittens +1,ClassicFFXI,12695,Y
LEUJAOAM_SANCTUM_SUPPLIES_RECOVERY_GLOVES,Leujaoam Sanctum,Supplies Recovery,??? Gloves,Leather Gloves,ClassicFFXI,12696,Y
LEUJAOAM_SANCTUM_SUPPLIES_RECOVERY_GLOVES,Leujaoam Sanctum,Supplies Recovery,??? Gloves,Cotton Gloves,ClassicFFXI,12721,Y
LEUJAOAM_SANCTUM_SUPPLIES_RECOVERY_GLOVES,Leujaoam Sanctum,Supplies Recovery,??? Gloves,Cuffs,ClassicFFXI,12728,Y
LEUJAOAM_SANCTUM_SUPPLIES_RECOVERY_GLOVES,Leujaoam Sanctum,Supplies Recovery,??? Gloves,Dragon Kote,ClassicFFXI,14951,Y
LEUJAOAM_SANCTUM_SUPPLIES_RECOVERY_GLOVES,Leujaoam Sanctum,Supplies Recovery,??? Gloves,Trainer's Gloves,ClassicFFXI,14871,Y
LEUJAOAM_SANCTUM_SUPPLIES_RECOVERY_BOX,Leujaoam Sanctum,Supplies Recovery,??? Box,White Rock,ClassicFFXI,776,N
LEUJAOAM_SANCTUM_SUPPLIES_RECOVERY_BOX,Leujaoam Sanctum,Supplies Recovery,??? Box,Phalaenopsis,ClassicFFXI,1411,N
LEUJAOAM_SANCTUM_SUPPLIES_RECOVERY_BOX,Leujaoam Sanctum,Supplies Recovery,??? Box,Tsurara,ClassicFFXI,1164,N
LEUJAOAM_SANCTUM_SUPPLIES_RECOVERY_BOX,Leujaoam Sanctum,Supplies Recovery,??? Box,Ice Crystal,ClassicFFXI,4097,N
LEUJAOAM_SANCTUM_AZURE_EXPERIMENTS_FOOTWEAR,Leujaoam Sanctum,Azure Experiments,??? Footwear,Ataractic Solea,FFXIclopedia,15705,Y
LEUJAOAM_SANCTUM_AZURE_EXPERIMENTS_FOOTWEAR,Leujaoam Sanctum,Azure Experiments,??? Footwear,Ash Clogs,FFXIclopedia,12984,Y
LEUJAOAM_SANCTUM_AZURE_EXPERIMENTS_FOOTWEAR,Leujaoam Sanctum,Azure Experiments,??? Footwear,Bronze Leggings +1,FFXIclopedia,12951,Y
LEUJAOAM_SANCTUM_AZURE_EXPERIMENTS_FOOTWEAR,Leujaoam Sanctum,Azure Experiments,??? Footwear,Leather Highboots,FFXIclopedia,12952,Y
LEUJAOAM_SANCTUM_AZURE_EXPERIMENTS_FOOTWEAR,Leujaoam Sanctum,Azure Experiments,??? Footwear,Evoker's Boots,FFXIclopedia,15325,Y
LEUJAOAM_SANCTUM_AZURE_EXPERIMENTS_FOOTWEAR,Leujaoam Sanctum,Azure Experiments,??? Footwear,Solea,FFXIclopedia,12992,Y
LEUJAOAM_SANCTUM_BLOODY_RONDO_BOX,Leujaoam Sanctum,Bloody Rondo,??? Box,Bloody Bolt Quiver,FFXIclopedia,5339,N
LEUJAOAM_SANCTUM_BLOODY_RONDO_BOX,Leujaoam Sanctum,Bloody Rondo,??? Box,Gardenia Seed,FFXIclopedia,1472,N
LEUJAOAM_SANCTUM_BLOODY_RONDO_BOX,Leujaoam Sanctum,Bloody Rondo,??? Box,Merrow Scale,FFXIclopedia,2146,N
LEUJAOAM_SANCTUM_BLOODY_RONDO_BOX,Leujaoam Sanctum,Bloody Rondo,??? Box,Mythril Bolt Quiver,FFXIclopedia,4228,N
LEUJAOAM_SANCTUM_BLOODY_RONDO_BOX,Leujaoam Sanctum,Bloody Rondo,??? Box,Sleep Quiver,FFXIclopedia,5333,N
LEUJAOAM_SANCTUM_BLOODY_RONDO_BOX,Leujaoam Sanctum,Bloody Rondo,??? Box,Soulflayer Staff,FFXIclopedia,2336,N
LEUJAOAM_SANCTUM_BLOODY_RONDO_BOX,Leujaoam Sanctum,Bloody Rondo,??? Box,Toolbag (Tsura),FFXIclopedia,5309,N
LEUJAOAM_SANCTUM_BLOODY_RONDO_BOX,Leujaoam Sanctum,Bloody Rondo,??? Box,Acid Bolt Quiver,FFXIclopedia,5335,N
LEUJAOAM_SANCTUM_BLOODY_RONDO_GLOVES,Leujaoam Sanctum,Bloody Rondo,??? Gloves,Bronze Mittens +1,BGWiki,12695,Y
LEUJAOAM_SANCTUM_BLOODY_RONDO_GLOVES,Leujaoam Sanctum,Bloody Rondo,??? Gloves,Caballero Gauntlets,BGWiki,15000,Y
LEUJAOAM_SANCTUM_BLOODY_RONDO_GLOVES,Leujaoam Sanctum,Bloody Rondo,??? Gloves,Cotton Gloves,BGWiki,12721,Y
LEUJAOAM_SANCTUM_BLOODY_RONDO_GLOVES,Leujaoam Sanctum,Bloody Rondo,??? Gloves,Cuffs,BGWiki,12728,Y
LEUJAOAM_SANCTUM_BLOODY_RONDO_GLOVES,Leujaoam Sanctum,Bloody Rondo,??? Gloves,Leather Gloves +1,BGWiki,12784,Y
LEUJAOAM_SANCTUM_BLOODY_RONDO_GLOVES,Leujaoam Sanctum,Bloody Rondo,??? Gloves,Vampiric Mitts,BGWiki,14999,Y
MAMOOL_JA_TRAINING_GROUNDS_IMPERIAL_AGENT_RESCUE_BOX,Mamool Ja Training Grounds,Imperial Agent Rescue,??? Box,Eggplant,BGWiki,4388,N
MAMOOL_JA_TRAINING_GROUNDS_IMPERIAL_AGENT_RESCUE_BOX,Mamool Ja Training Grounds,Imperial Agent Rescue,??? Box,Imperial Tea Leaves,BGWiki,2156,N
MAMOOL_JA_TRAINING_GROUNDS_IMPERIAL_AGENT_RESCUE_BOX,Mamool Ja Training Grounds,Imperial Agent Rescue,??? Box,Sage,BGWiki,638,N
MAMOOL_JA_TRAINING_GROUNDS_IMPERIAL_AGENT_RESCUE_BOX,Mamool Ja Training Grounds,Imperial Agent Rescue,??? Box,Silk Cloth,BGWiki,829,N
MAMOOL_JA_TRAINING_GROUNDS_IMPERIAL_AGENT_RESCUE_BOX,Mamool Ja Training Grounds,Imperial Agent Rescue,??? Box,Wild Onion,BGWiki,4387,N
MAMOOL_JA_TRAINING_GROUNDS_IMPERIAL_AGENT_RESCUE_RING,Mamool Ja Training Grounds,Imperial Agent Rescue,??? Ring,Brass Ring,BGWiki,13465,Y
MAMOOL_JA_TRAINING_GROUNDS_IMPERIAL_AGENT_RESCUE_RING,Mamool Ja Training Grounds,Imperial Agent Rescue,??? Ring,Copper Ring,BGWiki,13454,Y
MAMOOL_JA_TRAINING_GROUNDS_IMPERIAL_AGENT_RESCUE_RING,Mamool Ja Training Grounds,Imperial Agent Rescue,??? Ring,Ether Ring,BGWiki,13549,Y
MAMOOL_JA_TRAINING_GROUNDS_IMPERIAL_AGENT_RESCUE_RING,Mamool Ja Training Grounds,Imperial Agent Rescue,??? Ring,Storm Ring,BGWiki,15774,Y
MAMOOL_JA_TRAINING_GROUNDS_PREEMPTIVE_STRIKE_NECKLACE,Mamool Ja Training Grounds,Preemptive Strike,??? Necklace,Storm Torque,FFXIclopedia,15520,Y
MAMOOL_JA_TRAINING_GROUNDS_PREEMPTIVE_STRIKE_NECKLACE,Mamool Ja Training Grounds,Preemptive Strike,??? Necklace,Spectacles,FFXIclopedia,13128,Y
MAMOOL_JA_TRAINING_GROUNDS_PREEMPTIVE_STRIKE_NECKLACE,Mamool Ja Training Grounds,Preemptive Strike,??? Necklace,Feather Collar,FFXIclopedia,13075,Y
MAMOOL_JA_TRAINING_GROUNDS_PREEMPTIVE_STRIKE_NECKLACE,Mamool Ja Training Grounds,Preemptive Strike,??? Necklace,Gorget +1,FFXIclopedia,13065,Y
MAMOOL_JA_TRAINING_GROUNDS_PREEMPTIVE_STRIKE_BOX,Mamool Ja Training Grounds,Preemptive Strike,??? Box,Eggplant,FFXIclopedia,4388,N
MAMOOL_JA_TRAINING_GROUNDS_PREEMPTIVE_STRIKE_BOX,Mamool Ja Training Grounds,Preemptive Strike,??? Box,Sage,FFXIclopedia,638,N
MAMOOL_JA_TRAINING_GROUNDS_PREEMPTIVE_STRIKE_BOX,Mamool Ja Training Grounds,Preemptive Strike,??? Box,Imperial Tea Leaves,FFXIclopedia,2156,N
MAMOOL_JA_TRAINING_GROUNDS_PREEMPTIVE_STRIKE_BOX,Mamool Ja Training Grounds,Preemptive Strike,??? Box,Wild Onion,FFXIclopedia,4387,N
MAMOOL_JA_TRAINING_GROUNDS_PREEMPTIVE_STRIKE_BOX,Mamool Ja Training Grounds,Preemptive Strike,??? Box,Red Grass Thread,FFXIclopedia,1828,N
MAMOOL_JA_TRAINING_GROUNDS_PREEMPTIVE_STRIKE_BOX,Mamool Ja Training Grounds,Preemptive Strike,??? Box,Mamool Ja Collar,FFXIclopedia,2227,N
MAMOOL_JA_TRAINING_GROUNDS_PREEMPTIVE_STRIKE_BOX,Mamool Ja Training Grounds,Preemptive Strike,??? Box,Toolbag (Sairui-ran),FFXIclopedia,5317,N
MAMOOL_JA_TRAINING_GROUNDS_PREEMPTIVE_STRIKE_BOX,Mamool Ja Training Grounds,Preemptive Strike,??? Box,Toolbag (Shihei),FFXIclopedia,5314,N
MAMOOL_JA_TRAINING_GROUNDS_PREEMPTIVE_STRIKE_BOX,Mamool Ja Training Grounds,Preemptive Strike,??? Box,Toolbag (Jusa),FFXIclopedia,5315,N
MAMOOL_JA_TRAINING_GROUNDS_PREEMPTIVE_STRIKE_BOX,Mamool Ja Training Grounds,Preemptive Strike,??? Box,Toolbag (Kodo),FFXIclopedia,5318,N
MAMOOL_JA_TRAINING_GROUNDS_PREEMPTIVE_STRIKE_BOX,Mamool Ja Training Grounds,Preemptive Strike,??? Box,Kaolin,FFXIclopedia,2475,N
MAMOOL_JA_TRAINING_GROUNDS_PREEMPTIVE_STRIKE_BOX,Mamool Ja Training Grounds,Preemptive Strike,??? Box,Poroggo Hat,FFXIclopedia,2334,N
MAMOOL_JA_TRAINING_GROUNDS_SAGELORD_ELIMINATION_HEADPIECE,Mamool Ja Training Grounds,Sagelord Elimination,??? Headpiece,Bronze Cap +1,BGWiki,12463,Y
MAMOOL_JA_TRAINING_GROUNDS_SAGELORD_ELIMINATION_HEADPIECE,Mamool Ja Training Grounds,Sagelord Elimination,??? Headpiece,Circlet,BGWiki,12472,Y
MAMOOL_JA_TRAINING_GROUNDS_SAGELORD_ELIMINATION_HEADPIECE,Mamool Ja Training Grounds,Sagelord Elimination,??? Headpiece,Cotton Headgear,BGWiki,12465,Y
MAMOOL_JA_TRAINING_GROUNDS_SAGELORD_ELIMINATION_HEADPIECE,Mamool Ja Training Grounds,Sagelord Elimination,??? Headpiece,Storm Zucchetto,BGWiki,16065,Y
MAMOOL_JA_TRAINING_GROUNDS_SAGELORD_ELIMINATION_POLEARM,Mamool Ja Training Grounds,Sagelord Elimination,??? Polearm,Spark Spear,BGWiki,18076,Y
MAMOOL_JA_TRAINING_GROUNDS_SAGELORD_ELIMINATION_SWORD,Mamool Ja Training Grounds,Sagelord Elimination,??? Sword,Djinnbringer,BGWiki,18387,Y
MAMOOL_JA_TRAINING_GROUNDS_SAGELORD_ELIMINATION_SWORD,Mamool Ja Training Grounds,Sagelord Elimination,??? Sword,Gust Claymore,BGWiki,18366,Y
MAMOOL_JA_TRAINING_GROUNDS_SAGELORD_ELIMINATION_SWORD,Mamool Ja Training Grounds,Sagelord Elimination,??? Sword,Uchigatana +1,BGWiki,16978,Y
MAMOOL_JA_TRAINING_GROUNDS_SAGELORD_ELIMINATION_BOX,Mamool Ja Training Grounds,Sagelord Elimination,??? Box,Sage,ClassicFFXI,638,N
MAMOOL_JA_TRAINING_GROUNDS_SAGELORD_ELIMINATION_BOX,Mamool Ja Training Grounds,Sagelord Elimination,??? Box,Eggplant,ClassicFFXI,4388,N
MAMOOL_JA_TRAINING_GROUNDS_SAGELORD_ELIMINATION_BOX,Mamool Ja Training Grounds,Sagelord Elimination,??? Box,Imperial Tea Leaves,ClassicFFXI,2156,N
MAMOOL_JA_TRAINING_GROUNDS_SAGELORD_ELIMINATION_BOX,Mamool Ja Training Grounds,Sagelord Elimination,??? Box,Poroggo Hat,ClassicFFXI,2334,N
MAMOOL_JA_TRAINING_GROUNDS_SAGELORD_ELIMINATION_BOX,Mamool Ja Training Grounds,Sagelord Elimination,??? Box,Soulflayer Staff,ClassicFFXI,2336,N
MAMOOL_JA_TRAINING_GROUNDS_SAGELORD_ELIMINATION_BOX,Mamool Ja Training Grounds,Sagelord Elimination,??? Box,Toolbag (Shihei),ClassicFFXI,5314,N
MAMOOL_JA_TRAINING_GROUNDS_SAGELORD_ELIMINATION_BOX,Mamool Ja Training Grounds,Sagelord Elimination,??? Box,Toolbag (Jusa),ClassicFFXI,5315,N
MAMOOL_JA_TRAINING_GROUNDS_SAGELORD_ELIMINATION_BOX,Mamool Ja Training Grounds,Sagelord Elimination,??? Box,Toolbag (Mizu),ClassicFFXI,5313,N
MAMOOL_JA_TRAINING_GROUNDS_BREAKING_MORALE_POLEARM,Mamool Ja Training Grounds,Breaking Morale,??? Polearm,Spark Spear,ClassicFFXI,18076,Y
MAMOOL_JA_TRAINING_GROUNDS_BREAKING_MORALE_SWORD,Mamool Ja Training Grounds,Breaking Morale,??? Sword,Storm Scimitar,ClassicFFXI,17661,Y
MAMOOL_JA_TRAINING_GROUNDS_BREAKING_MORALE_SWORD,Mamool Ja Training Grounds,Breaking Morale,??? Sword,Gust Claymore,ClassicFFXI,18366,Y
MAMOOL_JA_TRAINING_GROUNDS_BREAKING_MORALE_SWORD,Mamool Ja Training Grounds,Breaking Morale,??? Sword,Uchigatana +1,ClassicFFXI,16978,Y
MAMOOL_JA_TRAINING_GROUNDS_BREAKING_MORALE_SWORD,Mamool Ja Training Grounds,Breaking Morale,??? Sword,Pealing Anelace,ClassicFFXI,17703,Y
MAMOOL_JA_TRAINING_GROUNDS_BREAKING_MORALE_SWORD,Mamool Ja Training Grounds,Breaking Morale,??? Sword,Kagiroi,ClassicFFXI,18433,Y
MAMOOL_JA_TRAINING_GROUNDS_BREAKING_MORALE_BOX,Mamool Ja Training Grounds,Breaking Morale,??? Box,Eggplant,ClassicFFXI,4388,N
MAMOOL_JA_TRAINING_GROUNDS_BREAKING_MORALE_BOX,Mamool Ja Training Grounds,Breaking Morale,??? Box,Imperial Tea Leaves,ClassicFFXI,2156,N
MAMOOL_JA_TRAINING_GROUNDS_BREAKING_MORALE_BOX,Mamool Ja Training Grounds,Breaking Morale,??? Box,Date,ClassicFFXI,5566,N
MAMOOL_JA_TRAINING_GROUNDS_BREAKING_MORALE_BOX,Mamool Ja Training Grounds,Breaking Morale,??? Box,Lamian Armlet,ClassicFFXI,2167,N
MAMOOL_JA_TRAINING_GROUNDS_BREAKING_MORALE_BOX,Mamool Ja Training Grounds,Breaking Morale,??? Box,Mamool Ja Collar,ClassicFFXI,2227,N
MAMOOL_JA_TRAINING_GROUNDS_BREAKING_MORALE_BOX,Mamool Ja Training Grounds,Breaking Morale,??? Box,Sage,ClassicFFXI,638,N
MAMOOL_JA_TRAINING_GROUNDS_BREAKING_MORALE_BOX,Mamool Ja Training Grounds,Breaking Morale,??? Box,Wild Onion,ClassicFFXI,4387,N
MAMOOL_JA_TRAINING_GROUNDS_BREAKING_MORALE_BOX,Mamool Ja Training Grounds,Breaking Morale,??? Box,Wamoura Cloth,ClassicFFXI,2289,N
MAMOOL_JA_TRAINING_GROUNDS_BREAKING_MORALE_BOX,Mamool Ja Training Grounds,Breaking Morale,??? Box,Toolbag (Mizu),ClassicFFXI,5313,N
MAMOOL_JA_TRAINING_GROUNDS_BREAKING_MORALE_BOX,Mamool Ja Training Grounds,Breaking Morale,??? Box,Toolbag (Kawa),ClassicFFXI,5310,N
MAMOOL_JA_TRAINING_GROUNDS_BREAKING_MORALE_BOX,Mamool Ja Training Grounds,Breaking Morale,??? Box,Poroggo Hat,ClassicFFXI,2334,N
MAMOOL_JA_TRAINING_GROUNDS_BREAKING_MORALE_BOX,Mamool Ja Training Grounds,Breaking Morale,??? Box,Kaolin,ClassicFFXI,2475,N
