Appraisal Result,itemid,topaz_name,match_type,is_equipment,flag,best_guess
Gorget +1,13065,gorget +1,exact,Y,,
Grace Corset,15897,grace corset,exact,Y,,
Gust Claymore,18366,gust claymore,exact,Y,,
Hatchet,1021,hatchet,exact,N,,
Holly Pole +1,17124,holly pole +1,exact,Y,,
Holly Staff +1,17125,holly staff +1,exact,Y,,
Holy Basil,1590,sprig of holy basil,fuzzy,N,,
Horizon Ring,15787,horizon ring,exact,Y,,
Horn Quiver,4222,horn quiver,exact,N,,
Hushed Dagger,18008,hushed dagger,exact,Y,,
Ice Crystal,4097,ice crystal,exact,N,,
Ice Gauntlets,14952,ice gauntlets,exact,Y,,
Igneous Rock,1654,igneous rock,exact,N,,
Immortal's Shotel,17726,immortals shotel,exact,Y,,
Imp Wing,2163,imp wing,exact,N,,
Imperial Bow,18683,imperial bow,exact,Y,,
Imperial Cermet,2290,chunk of imperial cermet,fuzzy,N,,
Imperial Ring,15773,imperial ring,exact,Y,,
Imperial Tea Leaves,2156,clump of imperial tea leaves,fuzzy,N,,
Imperial Wand,18407,imperial wand,exact,Y,,
Iron Bullet Pouch,5353,iron bullet pouch,exact,N,,
Iron Quiver,4225,iron quiver,exact,N,,
Istakoz,5453,istakoz,exact,N,,
Jadagna -1,18406,jadagna +1,exact,Y,AMBIGUOUS,Y
Jadagna -1,18409,jadagna -1,exact,Y,AMBIGUOUS,
Jagd Gorget,13165,jagd gorget,exact,Y,,
Kabura Quiver,5332,kabura quiver,exact,N,,
Kagiroi,18433,kagiroi,exact,Y,,
Kaolin,2475,chunk of kaolin,fuzzy,N,,
Kappa Necklace,15537,kappa necklace,exact,Y,,
Karakul Cloth,2288,square of karakul cloth,fuzzy,N,,
Karasuageha,18416,karasuageha,exact,Y,,
Katars,16399,katars,exact,Y,,
Khimaira Horn,2371,khimaira horn,exact,N,,
Kinnara Pole,18585,kinnara pole,exact,Y,,
Kosetsusamonji,18434,kosetsusamonji,exact,Y,,
Ksi Sash,15903,ksi sash,exact,Y,,
Kyofu,17780,kyofu,exact,Y,,
Lakerda,5450,lakerda,exact,N,,
Lambda Sash,15902,lambda sash,exact,Y,,
Lamian Armlet,2167,lamian armlet,exact,N,,
Lamian Kaman -1,18682,lamian kaman +1,exact,Y,AMBIGUOUS,Y
Lamian Kaman -1,18688,lamian kaman -1,exact,Y,AMBIGUOUS,
Lamp Marimo,2216,lamp marimo,exact,N,,
Lauan Shield,12289,lauan shield,exact,Y,,
Leather Bandana,12440,leather bandana,exact,Y,,
Leather Gloves,12696,leather gloves,exact,Y,,
Leather Gloves +1,12784,leather gloves +1,exact,Y,,
Leather Highboots,12952,leather highboots,exact,Y,,
Leather Trousers,12824,leather trousers,exact,Y,,
Light Spirit Pact,4902,light spirit pact,exact,N,,
Linen Cloth,826,square of linen cloth,fuzzy,N,AMBIGUOUS,Y
Linen Cloth,1699,square of scarlet linen cloth,fuzzy,N,AMBIGUOUS,
Linen Cloth,1701,square of fine linen cloth,fuzzy,N,AMBIGUOUS,
Linen Cloth,1964,square of magical linen cloth,fuzzy,N,AMBIGUOUS,
Little Worm,17396,little worm,exact,Y,,
Little Worm Belt,15454,little worm belt,exact,Y,,
Lizard Mantle +1,13608,lizard mantle +1,exact,Y,,
Longbow +1,17177,longbow +1,exact,Y,,
Lugworm Belt,15453,lugworm belt,exact,Y,,
Magnifying Earring,15980,magnifying earring,exact,Y,,
Maharaja's Belt,15870,maharajas belt,exact,Y,,
Mahogany Shield,12292,mahogany shield,exact,Y,,
Mamool Ja Collar,2227,mamool ja collar,exact,N,,
Maple Shield,12290,maple shield,exact,Y,,
Marid Ancus,17950,marid ancus,exact,Y,,
Merrow Scale,2146,merrow scale,exact,N,,
Mizu-Deppo,1176,mizu-deppo,exact,N,,
Mu Necklace,15534,mu necklace,exact,Y,,
Mythril Bolt Quiver,4228,mythril bolt quiver,exact,N,,
Nu Sash,15900,nu sash,exact,Y,,
Pahluwan Katars,18364,pahluwan katars,exact,Y,,
Palladium Dagger,18027,palladium dagger,exact,Y,,
Pealing Anelace,17703,pealing anelace,exact,Y,,
Pealing Buzdygan,17470,pealing buzdygan,exact,Y,,
Pealing Nagan,16954,pealing nagan,exact,Y,,
Phalaenopsis,1411,phalaenopsis,exact,N,,
Philomath Stole,13176,philomath stole,exact,Y,,
Pi Ring,15797,pi ring,exact,Y,,
Pickaxe,605,pickaxe,exact,N,,
Pineal Hat,15181,pineal hat,exact,Y,,
Ponderous Gully,17625,ponderous gully,exact,Y,,
Ponderous Manoples,18361,ponderous manoples,exact,Y,,
Poroggo Hat,2334,poroggo hat,exact,N,,
Prominence Axe,18220,prominence axe,exact,Y,,
Puk Lance,18112,puk lance,exact,Y,,
Qiqirn Sandbag,2153,qiqirn sandbag,exact,N,,
Qutrub Gorget,2165,qutrub gorget,exact,N,,
Rampager,18217,rampager,exact,Y,,
Red Cape +1,13611,red cape +1,exact,Y,,
Red Grass Thread,1828,spool of red grass thread,fuzzy,N,,
Red Rock,769,red rock,exact,N,,
Remedy,4155,remedy,exact,N,,
Reraise Earring,14790,reraise earring,exact,Y,,
Rotten Quiver,4196,rotten quiver,exact,N,,
Rusty Bucket,90,rusty bucket,exact,N,,
Sadhu Bracelets,14953,sadhu bracelets,exact,Y,,
Sadhu Cuffs,14954,sadhu cuffs,exact,Y,,
Sage,638,sprig of sage,fuzzy,N,AMBIGUOUS,Y
Sage,3895,rala visage i,fuzzy,N,AMBIGUOUS,
Sage,3896,rala visage ii,fuzzy,N,AMBIGUOUS,
Sage,3897,rala visage iii,fuzzy,N,AMBIGUOUS,
Sage,3898,rala visage iv,fuzzy,N,AMBIGUOUS,
Sanguine Sword,17721,sanguine sword,exact,Y,,
Scorpion Mittens +1,13956,scorpion mittens +1,exact,Y,,
Scorpion Quiver,4223,scorpion quiver,exact,N,,
Shell Earring,13313,shell earring,exact,Y,,
Sickle,1020,sickle,exact,N,,
Silk Cloth,829,square of silk cloth,fuzzy,N,AMBIGUOUS,Y
Silk Cloth,1965,square of magical silk cloth,fuzzy,N,AMBIGUOUS,
Silk Cloth,2340,square of imperial silk cloth,fuzzy,N,AMBIGUOUS,
Silver Bullet Pouch,5340,silver bullet pouch,exact,N,,
Silver Earring,13327,silver earring,exact,Y,,
Silver Obi +1,13224,silver obi +1,exact,Y,,
Silver Quiver,4226,silver quiver,exact,N,,
Slacks,12864,slacks,exact,Y,,
Sleep Bolt Quiver,5337,sleep bolt quiver,exact,N,,
Sleep Quiver,5333,sleep quiver,exact,N,,
Slops,12856,slops,exact,Y,,
Sniper's Collar,15517,snipers collar,exact,Y,,
Sniper's Mantle,13678,snipers mantle,exact,Y,,
Solea,12992,solea,exact,Y,,
Soulflayer Staff,2336,soulflayer staff,exact,N,,
Spark Dagger,17984,spark dagger,exact,Y,,
Spark Lance,18078,spark lance,exact,Y,,
Spark Spear,18076,spark spear,exact,Y,,
Spartan Bullet Pouch,5341,spartan bullet pouch,exact,N,,
Spectacles,13128,spectacles,exact,Y,,
Steel-splitter,17596,steel-splitter,exact,Y,,
Stone Quiver,4219,stone quiver,exact,N,,
Storm Belt,15882,storm belt,exact,Y,,
Storm Cape,15489,storm cape,exact,Y,,
Storm Crackows,15692,storm crackows,exact,Y,,
Storm Earring,15969,storm earring,exact,Y,,
Storm Gages,14937,storm gages,exact,Y,,
Storm Gambieras,15691,storm gambieras,exact,Y,,
Storm Loop,15968,storm loop,exact,Y,,
Storm Manopolas,14936,storm manopolas,exact,Y,,
Storm Mantle,15483,storm mantle,exact,Y,,
Storm Muffler,15519,storm muffler,exact,Y,,
Storm Ring,15774,storm ring,exact,Y,,
Storm Sash,15883,storm sash,exact,Y,,
Storm Scimitar,17661,storm scimitar,exact,Y,,
Storm Shield,16165,storm shield,exact,Y,,
Storm Torque,15520,storm torque,exact,Y,,
Storm Turban,16066,storm turban,exact,Y,,
Storm Zamburak,18684,storm zamburak,exact,Y,,
Storm Zucchetto,16065,storm zucchetto,exact,Y,,
Sulfur,934,pinch of yuhtunga sulfur,fuzzy,N,AMBIGUOUS,
Sulfur,1108,pinch of sulfur,fuzzy,N,AMBIGUOUS,Y
Sultan's Belt,15867,sultans belt,exact,Y,,
Talisman Obi,15881,talisman obi,exact,Y,,
Target Marker,2326,target marker,exact,N,AMBIGUOUS,Y
Target Marker,8581,target marker,exact,N,AMBIGUOUS,
Tariqah -1,16164,tariqah +1,exact,Y,AMBIGUOUS,Y
Tariqah -1,16167,tariqah -1,exact,Y,AMBIGUOUS,
Tau Ring,15795,tau ring,exact,Y,,
Templar's Mantle,13679,templars mantle,exact,Y,,
Tojaku,18415,tojaku,exact,Y,,
Tomahawk +1,17943,tomahawk +1,exact,Y,,
Toolbag (Hira),5312,toolbag (hiraishin),fuzzy,N,,
Toolbag (Jusa),5315,toolbag (jusatsu),fuzzy,N,,
Toolbag (Kagi),5316,toolbag (kaginawa),fuzzy,N,,
Toolbag (Kawa),5310,toolbag (kawahori-ogi),fuzzy,N,,
Toolbag (Kodo),5318,toolbag (kodoku),fuzzy,N,,
Toolbag (Maki),5311,toolbag (makibishi),fuzzy,N,,
Toolbag (Mizu),5313,toolbag (mizu-deppo),fuzzy,N,,
Toolbag (Sairui-ran),5317,toolbag (sairui-ran),exact,N,,
Toolbag (Shihei),5314,toolbag (shihei),exact,N,,
Toolbag (Shino),5319,toolbag (shinobi-tabi),fuzzy,N,,
Toolbag (Tsura),5309,toolbag (tsurara),fuzzy,N,,
Trainer's Gloves,14871,trainers gloves,exact,Y,,
Troll Bronze Ingot,2302,troll bronze ingot,exact,N,,
Troll Bronze Sheet,2303,troll bronze sheet,exact,N,,
Troll Pauldron,2160,troll pauldron,exact,N,,
Tsurara,1164,tsurara,exact,N,,
Uchigatana +1,16978,uchigatana +1,exact,Y,,
Vampiric Mitts,14999,vampiric mitts,exact,Y,,
Velvet Cloth,828,square of velvet cloth,fuzzy,N,AMBIGUOUS,Y
Velvet Cloth,1702,square of smooth velvet cloth,fuzzy,N,AMBIGUOUS,
Venom Bolt Quiver,5338,venom bolt quiver,exact,N,,
Volitional Mantle,16220,volitional mantle,exact,Y,,
Volunteer's Scythe,18064,volunteers scythe,exact,Y,,
Wamoura Axe,18484,wamoura axe,exact,Y,,
Wamoura Cloth,2289,square of wamoura cloth,fuzzy,N,,
White Rock,776,white rock,exact,N,,
Wild Onion,4387,wild onion,exact,N,,
Willow Fishing Rod,17391,willow fishing rod,exact,Y,,
Willow Wand +1,17138,willow wand +1,exact,Y,,
Wyvern Perch,17579,wyvern perch,exact,Y,,
Yigit Staff,18582,yigit staff,exact,Y,,
Zeta Sash,15901,zeta sash,exact,Y,,
